Actor1,Actor2,Actor3,Actor4,Director,Producer,Music,Outcome
Emraan Hashmi,Sanjay Dutt,Randeep Hooda,Neil Bhoopalam,Rensil Dsilva,Karan Johar,SalimSulaiman,2
Emraan Hashmi,Humaima Malick,Paresh Rawal,Kay Kay Menon,Kunal Deshmukh,Ronnie Screwvala,Yuvan Shankar Raja,3
Emraan Hashmi,Sanjay Dutt,Vidya Balan,Rajesh Sharma,Rajkumar Gupta,Ronnie Screwvala,Amit Trivedi,2
Emraan Hashmi,Konkona Sen Sharma,Kalki Koechlin,Huma Qureshi,Kannan Iyer,Ekta Kapoor,Vishal Bhardwaj,3
Emraan Hashmi,Sagarika Ghatge,Neha Dhupia,Murli Sharma,Shamin Desai,Shamin Desai,Pritam Chakraborty,2
Adil Hussain,Mona Singh,Mukesh Tiwari,Sanjay Mishra,Dr. Chandraprakash Dwivedi,Mukund Purohit,Sukhwinder Singh,2
Himesh Reshammiya,Zoya Afroz,Sonali Raut,Adil Hussain,Ananth Narayan Mahadevan,Vipin Reshammiya,Himesh Reshammiya,2
Ranveer Singh,Sonakshi Sinha,Vikrant Massey,Adil Hussain,Vikramaditya Motwane,Ekta Kapoor,Amit Trivedi,4
Divya Dutta,Raj Kumar Yadav,Gulshan Grover,Adil Hussain,Amit Vats,Anup Jalota,Willii Saadhak,2
Sridevi,Amitabh Bachchan,Mehdi Nebbou,Adil Hussain,Gauri Shinde,Sunil A Lulla,Amit Trivedi,4
Geetanjali Thapa,Nawazuddin Siddiqui,Manya Gupta,Vikram Bhagra,Geetu Mohandas,Ajay Rai,John Bosters,1
Sandhya Mridul,Radhika Apte,Geetanjali Thapa,Mahesh Balraj,Anurag Kashyap,Sankalp Acharekar,Karan Kulkarni,1
Nawazuddin Siddiqui,Tannishtha Chatterjee,Geetanjali Thapa,Sreejita De,Amit Kumar,Anurag Kashyap,Gingger Shankar,2
Geetanjali Thapa,Murari Kumar,Divyendu Sharma,Rukshana Tabassum,Kamal K M,Resul Pookutty,John P Varkey,1
Vidya Balan,Ali Fazal,Arjan Bajwa,Supriya Pathak,Samar Shaikh,Sahil Sangha,Shantanu Moitra,3
Pankaj Kapoor,Hrishita Bhatt,Nakul Vaid,Supriya Pathak,Bhavna Talwar,Gary Dhillon,Ilayya Raja,1
Shahid Kapoor,Sonam Kapoor,Anupam Kher,Supriya Pathak,Pankaj Kapoor,Sunil A Lulla,Pritam Chakraborty,2
Supriya Pathak,Anang Desai,Rajiv Mehta,Nimisha Vakharia,Aatish Kapadia,Jamnadas Majethia,Raju Singh,2
Ranbir Kapoor,Konkona Sen Sharma,Anupam Kher,Supriya Pathak,Ayan Mukerji,Karan Johar,Shankar-Ehsaan-Loy,4
Randeep Hooda,Nandana Sen,Paresh Rawal,Aashish Vidyarthi,Ketan Mehta,Deepa Sahi,Sandesh Shandilya,1
Salman Khan,Jacqueline Fernandez,Randeep Hooda,Nawazuddin Siddiqui,Sajid Nadiadwala,Sajid Nadiadwala,Himesh Reshammiya,4
Randeep Hooda,Alia Bhatt,Arjun Malhotra,Durgesh Kumar,Imtiaz Ali,Imtiaz Ali,A R Rahman,4
Randeep Hooda,Naseeruddin Shah,Shernaz Patel,Sharat Saxena,Ahishor Solomon,K. Asif,Kshiti Tarey,1
Amitabh Bachchan,Aamir Khan,Rani Mukerji,Randeep Hooda,Anurag Kashyap,Ashi Dua,Amit Trivedi,2
Nikhil Dwivedi,Richa Chadda,Damandeep Singh,Mahesh Balraj,Navneet Behal,Suryaveer Singh Bhullar,Krsna,2
Ranveer Singh,Deepika Padukone,Richa Chadda,Gulshan Devaiah,Sanjay Leela Bhansali,Sanjay Leela Bhansali,Sanjay Leela Bhansali,4
Nawazuddin Siddiqui,Richa Chadda,Huma Qureshi,Vineet Kumar Singh,Shlok Sharma,Anurag Kashyap,Jaidev Kumar,1
Pulkit Samrat,Richa Chadda,Varun Sharma,Manjot Singh,Mrigdeep Singh Lamba,Farhan Akhtar,Ram Sampat,3
Nawazuddin Siddiqui,Richa Chadda,Manoj Bajpai,Huma Qureshi,Anurag Kashyap,Anurag Kashyap,Sneha Khanwalkar,3
Aamir Khan,Anushka Sharma,Sushant Singh Rajput,Boman Irani,Rajkumar Hirani,Rajkumar Hirani,Shantanu Moitra,4
Imran Khan,Anushka Sharma,Pankaj Kapoor,Shabana Azmi,Vishal Bhardwaj,Vishal Bhardwaj,Vishal Bhardwaj,3
Shah Rukh Khan,Katrina Kaif,Anushka Sharma,Rishi Kapoor,Yash Chopra,Aditya Chopra,A R Rahman,4
